model,mae,rmse,r2
multimodal_fusion,1.2944070148699587,1.9763096767579456,0.7861448223337528
descriptor_only_fair,1.7300824519173736,2.495987665673077,0.6648525599330573
cgcnn_only,1.7142328032200886,2.487717180873636,0.664226206248836
